,Date,Invoice Type,Buyer,Saller,Products,Total_amount
0,23.09.2022,Purchase,/ Indusind Bank Ltd,Rashi Peripherals Limited,"286H8AA#AC3 HP/RAM/ RAM 8GB DDR4 3200 WW 84733030 1 3,800.00 3,800.00 3,800.00 |CGST 9.00 342.00","4,484.00"
1,20.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD IPS 85285200 4 8,900.00 35,600.00 35,600.00 |CGST 9.00 3,204.00","42,008.00"
2,21.10.2022,Purchase,/ Indusind Bank Ltd,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD IPS 85285200 25 8,800.00 220,000.00 |2,500.00 217,500.00 |CGST 9.00 19,575.00","256,650.00"
3,24.07.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"SRDE6AA#ACJ HP/MONITOR/ 19.5 P204V VGA HDMI TCO 85285200 24 5,300.00 127,200.00 127,200.00 |CGST 9.00 11,448.00","150,096.00"
4,18-Jan-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"4 |HP Color LaserJet Professional CP5225dn 84433100 18% 1 no. |1,24,650.00 | no. 1,24,650.00

0 |","1,47,087.00"
5,22-Mar-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

08 Terms of Delivery

1 |HP Color LaserJet Pro MFP M178NW (4ZB96A) 84433100 18% 1 no.| 32,180.00 | no. 32,180.00

2 |HP W2090A Black Toner Cartridge 84439959 18% 1 no. 3,266.00 | no. 3,266.00

3 |HP W2091A Cyan Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

4 |HP W2092A Yellow Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

5 |HP W2093A Magenta Toner Cartridge 84439959 18% 1 no. 3,610.00 | no. 3,610.00

27 Delivery Note Mode

08 Terms of Delivery

8 |","54,605.68"
6,23-Jan-23,Sales,Aavas Financiers Ltd,B M Infotrade Private Limited ,"1 |HP CE740A Toner Cartridge 84439959 18% 1no.| 12,270.00 | no. 12,270.00

2 |HP CE741A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

3 |HP CE742A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

4 |HP CE743A Toner Cartridge 84439959 18% 1no.| 21,614.00 | no. 21,614.00

8 | __ 13,880.16 |","90,992.00"
7,10-Apr-23,Sales,ACC Limited,"B M Infotrade Private Limited
","1 |HP 3WX30A Toner Cartridge 84439959 18% 1 no. 9,422.00 | no. 9,422.00

6 |","11,118.00"
8,12-Apr-23,Sales,ACC Limited,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |HP F9K15A Ink Cartridge 84439959 18 % 1 no. 9,422.00 | no. 9,422.00

2 |HP F9K16A Ink Cartridge 84439959 18% 1 no. 9,422.00 no. 9,422.00

3 |HP F9K17A Ink Cartridge 84439959 18 % 1 no. 9,422.00 | no. 9,422.00","33,354.00"
9,24-Apr-23,Sales,ACC Limited,"B M Infotrade Private Limited
","1 |HP INK CARTRIDGE (72 MATTE BLACK) 3WX06A 84439959 18 % 3 no. 3,696.00 | no. 11,088.00

4 |","13,084.00"
10,12-Jan-23,Sales,AGM (ITS) State Bank of India,"B M Infotrade Private Limited
","1 |HP L0S72AA 955XL Black Ink Cartridge 84439952 18 % 1 no. 3,135.00 | no. 3,135.00

0 |","3,699.30"
11,12-Jan-23,Purchase,signed by BE GuptaPrivate Limited,BE GuptaPrivate Limited,"1 |HP CF232A Toner Cartridge 84439959 18% 1no.| 6,452.00 | no. 6,452.00

CGST Output 580.68

6 |","1,161.36"
12,17-Jan-23,Sales,AGM (ITS) State Bank of India,"B M Infotrade Private Limited
","1 |HP CF230XC Toner Cartridge 84439959 18% 1no.| 6,977.00 | no. 6,977.00

6 |","8,232.86"
13,17-Jan-23,Sales,AGM (ITS) State Bank of India,"B M Infotrade Private Limited
","67 26a7 2f699f37 1500a882e2

08 Terms of Deliver

1 |HP LOS63AA 955XL Cyan Ink Cartridge 84439952 18% 1no.| 2,582.00 | no. 2,582.00

2 |HP LOS66AA 955XL Magenta Ink Cartridge 84439952 18% 1 no. 2,582.00 | no. 2,582.00

3 |HP LOS69AA 955XL Yellow Ink Cartridge 84439952 18% 1no.| 2,582.00 | no. 2,582.00","9,140.28"
14,19-Jan-23,Sales,AGM (ITS) State Bank of India,"B M Infotrade Private Limited
","1 |HP CF230A Toner Cartridge 84439959 18% 1 no. 4,720.00 | no. 4,720.00

80 849 60 ","5,569.60"
15,20-Jan-23,Sales,AGM (ITS) State Bank of India,B M Infotrade Private Limited ,"1 |HP CE505AC Toner Cartridge 84439959 18% 1 no. 6,705.00 | no. 6,705.00

0 |","7,911.90"
16,20-Jan-23,Sales,AGM (ITS) State Bank of India,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF280A Toner Cartridge 84439959 18% 1 no. 7,697.00 | no. 7,697.00

6 |","9,082.46"
17,30-Jan-23,Sales,AGM (ITS) State Bank of India,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF280A Toner Cartridge 84439959 18% 2 no. 7,697.00 | no. 15,394.00

0 | __— 9% 1,385.46 9% 1,385.46 2,770.92","18,164.92"
18,30-Jan-23,Sales,AGM (ITS) State Bank of India,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF280A Toner Cartridge 84439959 18% 1 no. 7,697.00 | no. 7,697.00

6 |","9,082.46"
19,31-Jan-23,Sales,AGM (ITS) State Bank of India,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP CF280A Toner Cartridge 84439959 18% 1 no. 7,697.00 | no. 7,697.00

6 |","9,082.46"
20,10-Jan-23,Sales,Agrawal Metal Works Pvt. Ltd,B M Infotrade Private Limited ,"1 |Implementation Charges 998319 18% 1 no. |1,50,000.00 | no. 1,50,000.00","1,77,000.00"
21,24-Jan-23,Sales,Agrawal Metal Works Pvt. Ltd,B M Infotrade Private Limited ,"1 bbe 5e1 0fb2

1 |Installation Charge [998719 18% 1 nos. |} 12,500.00 |nos. 12,500.00

0 |","14,750.00"
22,10-Apr-23,Sales,Agrawal Metal Works Pvt. Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |SQL Server 2022 Standard Edition ( 1998315 18% 1no.| 68,678.00 | no. 68,678.00

94 ON PAYMENT FOR

27 Delivery Note Mode

4 |","81,040.04"
23,3-Jan-23,Sales,Ahlicon Parenterals (India) Limited,"B M Infotrade Private Limited
","1 |CISCO GLC-LH-SMD 85176930 18% 4no.| 13,500.00 | no. 54,000.00","63,720.00"
24,11-Jan-23,Sales,Ahlicon Parenterals (India) Limited,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |Cisco Catalyst 9200L Stack Module ( 85176930 18 % 2no.| 46,500.00 | no. 93,000.00

0 |

30 Cisco Catalyst 9200L

00 Other Amt Total

00 SGST Amt 8","1,09,740.00"
25,17-Jan-23,Sales,Ahlicon Parenterals (India) Limited,"B M Infotrade Private Limited
","1 |CISCO GLC-LH-SMD 85176930 18 % 26 no. | 13,500.00 | no. 3,51,000.00

67 Marine Open Policy

0 |

00 Other Amt Total

00 SGST Amt 31","4,14,180.00"
26,1-Apr-23,Sales,Goyal Fashion Pvt Ltd,"B M Infotrade Private Limited
","1 |TP-LINK WN725N W/L USB ADAPTER 85176290 18% 1 no. 530.00 | no. 530.00

0 |",625.00
27,26-Apr-23,Sales,UCO BANK,B M Infotrade Private Limited ,"27 Delivery Note Mode

1 |Brother Ink Tank T4000dw 84433240 18% 1 no. 31,779.66 | no. 31,779.66

6 | 9% 2,860.17 9% 2,860.17 5,720.34","37,500.00"
28,25-Mar-23,Sales,ARL Infratech Ltd,B M Infotrade Private Limited ,"1 |25-Mar-23

27 Delivery Note Mode

16 Dispatched through Destination

1 |HP Slim Desktop S01-PF2889in/i3 -12th 84715000 18% 3no.| 37,216.00 | no. 1,11,648.00

2 |HP (19.5?) LED Monitor 85285200 18 % 3 no.

27 Delivery Note Mode

00 HP Slim Desktop

12 SSD 3 NOS

00 Other Amt Total

32 SGST Amt 10",4
29,30-Mar-23,Sales,ARL Infratech Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

19 Dispatched through Destination

2 Terms of Delivery

1 |HP Laser MFP 128FN 84433100 18% 1 no.| 18,800.00 | no. 18,800.00

0 |","22,184.00"
30,11-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

07 Dispatched through Destination

1 |Sophos XGS 126 Appliance (KA1CTCHIN) 85176990 18% 1 no.| 51,500.00 | no. 51,500.00","60,770.00"
31,12-Apr-23,Purchase,BEENA GtiB Manfotrade Private Limited,Manfotrade Private Limited,"4 |Sophos Xtreme Protection Bundle for XGS 997331 18% 1 no.| 61,500.00 | no. 61,500.00

CGST Output 5,535.00

0 |","11,070.00"
32,5-Jan-23,Sales,ASK Automotive Pvt. Ltd,B M Infotrade Private Limited ,"50 Dispatched through Destination

1 |Power BI Premium Per User per year 997331 18 % 5 no. 13,020.00 | no. 65,100.00

23 SOFTWARE ACQUIRED IN

50 Terms of Delivery

0 | 718.00","76,818.00"
33,5-Jan-23,Sales,ASK Automotive Pvt. Ltd,"B M Infotrade Private Limited
","1 |Power BI Premium Per User per year 997331 18% 5 no.| 13,020.00 | no. 65,100.00

23 SOFTWARE ACQUIRED IN

50 Dispatched through Destination","76,818.00"
34,15-Apr-23,Sales,ASK Automotive Pvt. Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

50 Dispatched through Destination

1 |Microsoft Modern Azure Consumption 998319 18 % 1 no. 48,556.58 | no. 48,556.58

1 March to 31

2 |Managed Service 998319 18 % 1 no. 9,000.00 | no. 9,000.00

8 | __ 10,360.18 _|","67,917.00"
35,29-Mar-23,Sales,Balkrishna Industries Ltd,"B M Infotrade Private Limited
","2 | 29-Mar-23

1 |HP Pro Tower 280G9/CORE i5 12th Gen/8GB/512GB |84715000 | 18 % 10 no.| 45,150.00) no.| 4,51,500.00

2 |HP Monitor 19.5 (GRD66AA) 85285200 | 18% 10 no.

3 |Win Pro 10 64 Bit OEM 85238020 | 18% 10 no.| 9,850.00) no. 98,500.00

2 | 29-Mar-23

20 ses Nye ek","6,49,000.00"
36,7-Jan-23,Sales,Banswara Syntex Ltd,"B M Infotrade Private Limited
","0 Terms of Delivery

1 |Zebra Printer ZD230 184433290 18% 5 no.| 10,450.00 | no. 52,250.00

0 Terms of Delivery","61,655.00"
37,25-Jan-23,Sales,Null,B M Infotrade Private Limited ,"26 Dispatched through Destination

1 |Project Plan-lll (Part No. CPQ7TTCOHDBO) 998315 18% 2no.| 20,272.00 | no. 40,544.00

2 |","47,842.00"
38,30-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

03 Dispatched through Destination

1 |Dell 1.2TB HDD SAS 10k 12Gbps 512N 84717020 18% 2no.} 13,750.00 | no. 27,500.00

0 |___— 9% 2,475.00 9% 2,475.00 4,950.00 |","32,450.00"
39,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 20,889.54 0.00 0.00 3,760.12 20,889.54 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 24,649.66
CL-AWS-CONSUMPTION-C

ns in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","24,649.66"
40,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 10,599.00 0.00 0.00 1,907.82 10,599.00 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 12,506.82
CL-AWS-CONSUMPTION-C",Tax
41,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0016 1.000 3,894.36 0.00 0.00 700.98 3,894.36 0.010
CL-AWSC-PREMIUM-
SUPPORT-CHARGES EAI 0.00 0.00 18.00 4,595.34
CL-AWSC-PREMIUM-SUPP",Tax
42,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 129,811.44 0.00 0.00 23,366.06 129,811.44 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 153,177.50
CL-AWS-CONSUMPTION-C

ns in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","153,177.50"
43,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"7 | 2a5a6f9 cl e3£4741679cd

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 7,231.85 0.00 0.00 1,301.73 7,231.85 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 8,533.58
CL-AWS-CONSUMPTION-C",Tax
44,11.10.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0041 998313 1.000 3,158.49 0.00 0.00 568.53 3,158.49 0.010
SARROTDONCE. CHARGES EA 0.00 0.00 18.00 3,727.02
CL-AWS-NEW-MARKETPLA
Vol Wt 0.000","3,727.02"
45,10.11.2021,Purchase,LTD BM INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 21,867.21 0.00 0.00 3,936.10 21,867.21 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 25,803.31
CL-AWS-CONSUMPTION-C","25,803.31"
46,10.11.2021,Purchase,LTD BM INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 21,867.21 0.00 0.00 3,936.10 21,867.21 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 25,803.31
CL-AWS-CONSUMPTION-C","25,803.31"
47,10.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 15,649.17 0.00 0.00 2,816.85 15,649.17 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 18,466.02
CL-AWS-CONSUMPTION-C","18,466.02"
48,10.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"2 | | fae8fbc4e3fac73 1al2fb79b45242c17e3bae3

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0016 998313 1.000 4,546.71 0.00 0.00 818.41 4,546.71 0.010
CL-AWSC-PREMIUM-
SUPPORT-CHARGES EAI 0.00 0.00 18.00 5,365.12
CL-AWSC-PREMIUM-SUPP",Tax
49,10.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"2 | | fae8fbc4e3fac73 1al2fb79b45242c17e3bae3

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0016 998313 1.000 4,546.71 0.00 0.00 818.41 4,546.71 0.010
CL-AWSC-PREMIUM-
SUPPORT-CHARGES EAI 0.00 0.00 18.00 5,365.12
CL-AWSC-PREMIUM-SUPP",Tax
50,10.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 151,560.12 0.00 0.00 27,280.82 151,560.12 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 178,840.94
CL-AWS-CONSUMPTION-C",Tax
51,10.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 151,560.12 0.00 0.00 27,280.82 151,560.12 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 178,840.94
CL-AWS-CONSUMPTION-C",Tax
52,10.11.2021,Purchase,LTD BM INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 7,531.43 0.00 0.00 1,355.66 7,531.43 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 8,887.09
CL-AWS-CONSUMPTION-C","8,887.09"
53,10.11.2021,Purchase,LTD BM INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC_ | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 7,531.43 0.00 0.00 1,355.66 7,531.43 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 8,887.09
CL-AWS-CONSUMPTION-C","8,887.09"
54,11.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0041 998313 1.000 3,224.33 0.00 0.00 580.38 3,224.33 0.010
CL-AWS-NEW-
MARKETPLACE-CHARGES EAI 0.00 0.00 18.00 3,804.71
CL-AWS-NEW-MARKETPLA",Tax
55,12.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC | QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
MSCG0034 997331 15.000 6,649.92 0.00 0.00 17,954.78 99,748.80 0.150
POWER _BI_PRO_CL_ELic EA 0.00 0.00 18.00 117,703.58
POWER BI PRO
Vol Wt 0.000

ns in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","117,703.58"
56,12.11.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
MCSP000205 MICROSOFT 365 | 997331 39.000 4,575.82 0.00 0.00 32,122.26 178,456.98 0.039
BUSINESS STANDARD
CLOUD EAI 0.00 0.00 18.00 210,579.24
MICROSOFT 365 BUSINESS","210,579.24"
57,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"2 | fdd5161b3

ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 21,628.14 0.00 0.00 3,893.07 21,628.14 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 25,521.21
CL-AWS-CONSUMPTION-C","25,521.21"
58,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 19,686.25 0.00 0.00 3,543.53 19,686.25 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 23,229.78
CL-AWS-CONSUMPTION-C",Tax
59,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0016 998313 1.000 4,785.65 0.00 0.00 861.42 4,785.65 0.010
CL-AWSC-PREMIUM-
SUPPORT-CHARGES EAI 0.00 0.00 18.00 5,647.07
CL-AWSC-PREMIUM-SUPP",Tax
60,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 998313 1.000 159,530.26 0.00 0.00 28,715.45 159,530.26 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 188,245.71
CL-AWS-CONSUMPTION-C

ns in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","188,245.71"
61,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0025 1.000 7,370.33 0.00 0.00 1,326.66 7,370.33 0.010
CL-AWS-CONSUMPTION-
CHARGES EAI 0.00 0.00 18.00 8,696.99
CL-AWS-CONSUMPTION-C",Tax
62,10.12.2021,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"ITEM CODE/ITEM HSN/SAC QUANTITY | UNIT PRICE | SGST/UGST CGST IGST TOTAL WEIGHT

DESCRIPTION
AWCS0041 998313 1.000 3,172.90 0.00 0.00 571.12 3,172.90 0.010
CL-AWS-NEW-
MARKETPLACE-CHARGES EAI 0.00 0.00 18.00 3,744.02
CL-AWS-NEW-MARKETPLA

ns in terms of Nptification 47/20]7 (IGST) / Notifitation 45/2017 (CGST) and","3,744.02"
63,29-Apr-23,Sales,Coloured Rocks Trading Pvt Ltd,B M Infotrade Private Limited ,"27 Delivery Note Mode

22 Godam Industrial Area

6 7 7 

22 Godam Industrial Area

1 |Adobe Photoshop for teams 1998434 18% 1no.| 26,950.00 | no. 26,950.00

11 Months till 25

22 Godam Industrial Area

22 Godam Industrial Area

0 |","31,801.00"
64,11-Jan-23,Sales,Null,"B M Infotrade Private Limited
","1 |HP All in One 27-CA1234IN- Snow Flake 84714900 18% 2 no.| 61,695.00 | no. 1,23,390.00

11 Home with Ms

67 Marine Open Policy

0 |

00 HP All in

00 Other Amt 

20 Total Inv Amt

10 SGST Amt 11","1,45,600.00"
65,12-Jan-23,Sales,Null,B M Infotrade Private Limited ,"1 |HP Laser 108w Printer (4ZB80A)

0 |",.
66,25-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP COLOR LJ PRO MFP M479DW 84433100 18% 1 no. 79,730.00 | no. 79,730.00

0 | 9% 7,175.70 9% 7,175.70 14,351.40","94,081.40"
67,1-Feb-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP LaserJet Tank MFP 2606sdw Printer 84433100 18 % 1 no. 22,190.00 | no. 22,190.00

0 |___— 9% 1,997.10 9% 1,997.10 3,994.20 |","26,184.20"
68,14-Apr-23,Purchase,BEENA eR infotrade Private Limited,infotrade Private Limited,"1 |HP Laser Jet MFP 4104DW Printer ( 84433100 18% 1 no. |] 36,335.00 | no. 36,335.00

CGST Output 3,270.15

0 | __-9% | _ __3,270.15 | _ 9% 3,270.15 6,540.30 |","6,540.30"
69,30-Jan-23,Sales,EASTMAN AUTO AND POWER LIMITED,B M Infotrade Private Limited ,"16 Dispatched through Destination

1 |Azure -Consumption Charges 998319 18% 1 nos. | 23,028.97 |nos. 23,028.97

1 December to 31

7 | _ 18% 4,145.21 4,145.21","27,174.18"
70,15-Apr-23,Sales,EASTMAN AUTO AND POWER LIMITED,B M Infotrade Private Limited ,"27 Delivery Note Mode

16 Dispatched through Destination

1 )Azure -Consumption Charges 998319 18% 1 nos. 16,797.52 | nos. 16,797.52

1 March to 31","19,821.00"
71,23.06.2022,Purchase,B M INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION
HPWSMOQ206 54X19PA 847150 1,000 115,000.00 20,700.00 115,000.00 9.900
Z2G8/XEON/16/512/T1000/W10 EA 18.00 135,700.00
P WS
S4X19PA",Tax
72,04.07.2022,Purchase,BM INFOTRADE PVT LTD,Redington (India) Limited,"DESCRIPTION
MESDKP0023 997331 2.000 4,500.00 1,620.00 9,000.00 0.002
M365FAMILY ALLGSUBIYRO EA 18.00 10,620.00
LNAPACEMC2RNR E-LIC
6GQ-00083",Tax
73,25-Apr-23,Sales,Frontline Solutions,B M Infotrade Private Limited ,"27 Delivery Note Mode

08 Terms of Delivery

1 |Epson Ink Bottle T6643 Magenta 32151990 18%| 119 no. 2,170.00 | no. 2,58,230.00

0 |

90 Epson Ink Bottle

40 Total Inv Amt","3,04,711.00"
74,2-Jan-23,Purchase,B M Infotrade Private Limited,trade Private Limited,"1 |G Suite Basic

2 |Google Drive storage - 20 GB

3 |Google Drive storage 200 GB

4 |G Suite Basic

5 |G Suite Basic

6 |G Suite Basic

7 |G Suite Basic

CGST Output","3,966.42"
75,2-Feb-23,Purchase,by BE GUPTAnftrade Private Limited,GUPTAnftrade Private Limited,"1 |G Suite Basic [998319 18% 102 no. 212.50| no. 21,675.00

2 |Google Drive storage - 20 GB 998319 18% 2 no. 203.22 | no. 406.44

3 |Google Drive storage 200 GB 998319 18% 1 no. 866.00 | no. 866.00

CGST Output 2,065.27","4,130.54"
76,25-Jan-23,Sales,G-Tekt India Pvt Ltd,"B M Infotrade Private Limited
","1 jImplementation Charges 998319

0 | no. 27,500.00

0 | _ 9% 2,475.00 9% 2,475.00 4,950.00 |","32,450.00"
77,27-Apr-23,Purchase,B M Infotrade Private Limited,Infotrade Private Limited,"1 |Azure -Consumption Charges 998319 18% 1 nos. |3,00,000.00 |nos. 3,00,000.00

0 | _18%| __ 54,000.00 |__54,000.00 |","3,54,000.00"
78,30-Dec-22,Sales,GLUHEND INDIA PRIVATE LIMITED,"B M Infotrade Private Limited
","1 |Office 365 License (Basic) 1997331 18%| 150 no. | 1,450.00 | no.| 2,17,500.00

2 |Microsoft 365 Business Standard 1997331 18%| 150 no. | 6,800.00 | no. |10,20,000.00

0 |2,22,750.00",0
79,30-Jan-23,Sales,Null,B M Infotrade Private Limited ,"93 Dispatched through Destination

27 Terms of Delivery

1 |Azure -Consumption Charges 998319 18% 1 nos. | 59,437.48 |nos. 59,437.48

1 December to 31

5 | __ 10,698.75 |","70,136.23"
80,15-Apr-23,Sales,Null,B M Infotrade Private Limited ,"27 Delivery Note Mode

93 Dispatched through Destination

27 Terms of Delivery

1 )Azure -Consumption Charges 998319 18% 1 nos. 60,642.74 | nos. 60,642.74

1 March to 31

9 | _ 10,915.69 |","71,558.43"
