,Date,Invoice Type,Buyer,Saller,Products,Total_amount
114,24.07.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"S5RD6E6AA#ACJ HP/MONITOR/ 19.5 P204V VGA HDMI TCO 85285200 24 5,300.00 127,200.00 127,200.00 |CGST |} 9.00 11,448.00","150,096.00"
115,02.08.2023,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"1ATE4AT#HACJ HP/MONITOR/ P22 G4 21.5 IPS FHD VGA DP 85285200 1 9,000.00 9,000.00 9,000.00 |CGST] 9.00 810.00","10,620.00"
116,15.09.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"12B1006NHF LENOVO/ALL In One/ I5 1240P 8GB 1TB 84713010 1 51,949.00 51,949.00 51,949.00 |CGST |] 9.00 4,675.41","61,300.00"
117,23.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"286H8AA#AC3 HP/RAM/ RAM 8GB_ DDR4 3200 WW 84733030 1 3,800.00 3,800.00 3,800.00 |CGST |] 9.00 342.00","4,484.00"
118,29.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"340K9AA HP/DISPLAY CARD/ T600 4GB 4MDP GFX 84733030 1 12,000.00 12,000.00 12,000.00 |CGST | 9.00 1,080.00

1ATE4AT#HACJ HP/MONITOR/ P22 G4 21.5 IPS FHD VGA DP 85285200 1 9,800.00 9,800.00 9,800.00 |CGST |] 9.00 882.00","25,724.00"
119,30.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD 85285200 2 9,400.00 18,800.00 18,800.00 |CGST | 9.00 1,692.00","22,184.00"
120,19.11.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"1H849A6#ACJ HP/CONSUMER MONITORS/ V20 19.5 VGA 85285200 1 6,300.00 6,300.00 6,300.00 |CGST |] 9.00 567.00","7,434.00"
121,19.11.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD 85285200 4 8,900.00 35,600.00 35,600.00 |CGST | 9.00 3,204.00","42,008.00"
122,21.10.2022,Purchase,issued by Rashi Peripherals Limited,Rashi Peripherals Limited,"2E2Y3A6#ACJ HP/CONSUMER MONITORS/ M22F 22 FHD 85285200 25 8,800.00 220,000.00 P,500.00 217,500.00 |CGST | 9.00 19,575.00","256,650.00"
123,3-Jan-23,Purchase,Iris Global Services Pvt Ltd,Global Services Pvt Ltd,3 | .,"21,240.00"
124,17-Jan-23,Purchase,B M Infotrade Private Limited,SUPPLY CHAIN SOLUTION,"1 |HP CZ192AC Toner Cartridge (93A Black) 84439959 18% 10 no. 8,838.00 | no. 88,380.00

2 |HP Cf281XC Toner Cartridge 84439959 18% 1 no. 7,560.00 | no. 7,560.00

3 |HP W9037MC Tonner Cartridge 84439959 18% 5 no. 4,734.00 | no. 23,670.00

4 |HP Z7Y85A Paper Transfer Belt Assembly 84439959 18% 1 no. 3,920.00 | no. 3,920.00

CGST Output 11,117.70

0 |

CGST Amt 11,117.70 SGST Amt 11,117.70","1,45,765.40"
125,25-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

1 |HP Cf281XC Toner Cartridge 84439959 18% 9 no. 7,560.00 | no. 68,040.00

2 |HP Z8W52A Black Developer Unit 84439959 18% 2 no. 5,088.00 no. 10,176.00

0 | 9% 7,039.44 9% 7,039.44 14,078.88",8
126,9-Jan-23,Sales,Null,B M Infotrade Private Limited ,"67 Marine Open Policy

4 |HP W1104A Bik Laser Imaging Drum 84439959 18 % 1no.| 4,015.00 | no. 4,015.00

0 |","4,738.00"
